Model,No. Layers,data_arguments.num_train,data_arguments.num_val,data_arguments.num_test,data_arguments.noise_std,training_arguments.num_steps,training_arguments.val_every_n_steps,status,TLL,mean_absolute_error,mean_squared_error,standardized_mean_squared_error,mean_standardized_log_loss,quantile_coverage_error,negative_log_predictive_density,step
Fully Geometric,3,800,500,2000,0.01,1000,50,completed,1.9368514648374349,0.0215881191199306,0.0010688266414146,0.0237948860441634,-1.8842139710241568,0.02155,-2.0359644712282376,0
Fully Geometric,3,800,500,2000,0.01,1000,50,completed,1.9344806158414387,0.0215675928671133,0.0010768701673403,0.0240360117971999,-1.8761093804063464,0.02145,-2.0300742461387897,0
Fully Geometric,3,800,500,2000,0.01,1000,50,completed,1.9367459501225408,0.0218657277752817,0.0010686031167184,0.0237806584720687,-1.8805614782858624,0.0223,-2.0305080172132257,0
Fully Geometric,3,800,500,2000,0.01,1000,50,completed,1.9273513552305128,0.0214773886648697,0.0010805182299447,0.0241267367058527,-1.8725503392984435,0.0219,-2.026638166213744,0
Fully Geometric,3,800,500,2000,0.01,1000,50,completed,1.9305808010592265,0.0216550627985201,0.0010899385924575,0.0242827693385167,-1.874489612519464,0.0211,-2.0274756333843245,0
Fully Geometric,4,800,500,2000,0.01,1000,50,completed,1.9403364720599323,0.0216119786129469,0.0010632039904596,0.0236697110779386,-1.885967324452213,0.0209,-2.042527137536178,0
Fully Geometric,4,800,500,2000,0.01,1000,50,completed,1.93006307761633,0.0217097927893321,0.0010830448716656,0.0241738327439656,-1.8746566613754356,0.02065,-2.0303642413886074,0
Fully Geometric,4,800,500,2000,0.01,1000,50,completed,1.9496306957426783,0.0217079078131692,0.0010425329062386,0.0232004928689414,-1.8903566465872017,0.02175,-2.0395294357711315,0
Fully Geometric,4,800,500,2000,0.01,1000,50,completed,1.9398521339225097,0.0216624629521023,0.0010693098071019,0.0238764654384916,-1.8779399809261368,0.0216,-2.030511280245315,0
Fully Geometric,4,800,500,2000,0.01,1000,50,completed,1.931415991392683,0.0216250383406423,0.0010823420251627,0.024113525224527,-1.8761842363292696,0.0199,-2.028902184926504,0
Fully Geometric,1,800,500,2000,0.01,1000,50,completed,1.410091033805278,0.0340265315308999,0.0030897779012715,0.0687865648307799,-1.3242240875190645,0.005,-1.5365658564604598,0
Fully Geometric,1,800,500,2000,0.01,1000,50,completed,1.415712580124159,0.0344276510498336,0.0030555761485044,0.0682012247902496,-1.3287950623916904,0.003,-1.5446366131996467,0
Fully Geometric,1,800,500,2000,0.01,1000,50,completed,1.4066745583843554,0.0345842439495716,0.0031232947986537,0.0695056993118804,-1.3222956013888905,0.004,-1.5372891118392864,0
Fully Geometric,1,800,500,2000,0.01,1000,50,completed,1.417061195082758,0.0339450737435156,0.0030499909880237,0.0681028116730939,-1.3305437328173682,0.002,-1.5457303997990754,0
Fully Geometric,1,800,500,2000,0.01,1000,50,completed,1.409612109332424,0.0345663326825104,0.0031083843306351,0.0692517727499524,-1.3251303969209416,0.0054999999999999,-1.5403438692099942,0
Fully Geometric,2,800,500,2000,0.01,1000,50,completed,1.8465931598418892,0.0234746934086732,0.0012972557394118,0.0288803172501278,-1.7816081955214176,0.01995,-1.933629866243311,0
Fully Geometric,2,800,500,2000,0.01,1000,50,completed,1.8437507742933577,0.0233392388263555,0.0013033324438237,0.0290907065173787,-1.7783642255391423,0.01845,-1.929145477562201,0
Fully Geometric,2,800,500,2000,0.01,1000,50,completed,1.8495458940414504,0.0234982448283422,0.0012887222848189,0.0286791831702068,-1.7858810883283454,0.01995,-1.935594845690198,0
Fully Geometric,2,800,500,2000,0.01,1000,50,completed,1.836863796374196,0.0235239605242902,0.0013235177636291,0.0295526384688874,-1.7710200959123976,0.01905,-1.9234528604284225,0
Fully Geometric,2,800,500,2000,0.01,1000,50,completed,1.836308274323769,0.0234910002227215,0.001328094822671,0.02958865798658,-1.7729923628884356,0.01815,-1.925658972091759,0
Fully Geometric,5,800,500,2000,0.01,1000,50,completed,1.937924240057472,0.0217414008683185,0.0010625236695568,0.0236545653492228,-1.8845951236788976,0.02015,-2.040152837196081,0
Fully Geometric,5,800,500,2000,0.01,1000,50,completed,1.9324890422376293,0.0218503977068338,0.0010817798379678,0.0241455968750489,-1.870461448584426,0.0216,-2.024309224650775,0
Fully Geometric,5,800,500,2000,0.01,1000,50,completed,1.929198013399399,0.0223308473788035,0.0010905906483479,0.0242699682748796,-1.8709916124883663,0.0189,-2.030873512775285,0
Fully Geometric,5,800,500,2000,0.01,1000,50,completed,1.8949410721376527,0.0227013329268652,0.0011721038687754,0.0261717393100379,-1.831280891562211,0.0212,-1.9886640801368671,0
Fully Geometric,5,800,500,2000,0.01,1000,50,completed,1.930188288017872,0.0219172514691277,0.0010917278530233,0.0243226323197034,-1.868621562219036,0.02145,-2.0226696792314143,0
