best_x,best_y,step
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,0
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,1
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,2
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,3
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,4
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,5
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,6
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,7
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,8
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,9
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,10
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,11
"[-0.47583510759546344, -0.7833140815660177, -0.39999999999999997]",-0.15533319505465562,12
"[-0.5475507829053681, -0.8274302506488485, -0.12468889465747258]",-0.23145922040874822,13
"[-0.6021927861766462, -0.7919547207785173, -0.100854194327399]",-0.2319527909878431,14
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,15
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,16
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,17
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,18
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,19
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,20
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,21
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,22
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,23
"[-0.5653560206536589, -0.820985421740735, -0.07972143500870381]",-0.2324183341264436,24
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,25
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,26
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,27
"[-0.5712239403056293, 0.8145501338419876, -0.10105092517988484]",-0.23277111620137925,28
